Stock,Open,Close,Profit,Profit Percent
TCS,3871.8,3824.0,-47,-1.21
NINSYS,450.0,589.45,139,30.89
CHAINF,1102.9,1125.75,23,2.09
MADBHA,308.0,296.15,-12,-3.9
ANLTEC,256.0,237.0,-19,-7.42
APTLIM,281.2,268.85,-13,-4.63
DPWIR,610.05,595.3,-15,-2.46
STYIND,1754.85,1754.2,0,0.0
CMSIN,394.0,386.0,-8,-2.03
INNTHI,580.0,521.0,-59,-10.17
HGINF,848.0,819.4,-29,-3.42
KPRMIL,845.0,833.25,-12,-1.42
GESHIP,899.5,1016.15,117,13.01
HINOIL,169.4,181.25,12,7.1
Total Profit,Total Invested Amount
77,12367
